ticker,ret_21d,ret_63d,ret_126d,ret_252d,mom_12_1,resid_mom_63,beta_est,trail_ann_ret,trail_ann_vol,trail_sharpe,trail_n,ret_21d_z,ret_63d_z,ret_126d_z,mom_12_1_z,resid_mom_63_z,momentum_score,momentum_quintile
GD,0.053298869085084855,0.09487804202120653,0.08158592265391085,0.21715869023507506,0.1765410565201444,0.011665439243491732,0.9056251995030101,0.21960453373521072,0.21590479382965735,0.8318691333778976,252,0.4265896693234409,0.2983448706267282,-0.11693098236644774,-0.2531328875495097,0.09729906699359632,0.0904339474055616,4
KMB,-0.011216798031364328,0.1520125528863001,0.06762913883199229,-0.1754713937095288,-0.14902452860856052,0.09574809087868219,0.5731775162547683,-0.1597498142671263,0.25335161832858655,-0.788429202011487,252,-0.09726350375922277,0.6804021910185271,-0.164682955408552,-0.6376047899070583,0.6653894696268574,0.08924808231411029,4
XOM,0.15181980207464885,0.021341653505063674,0.06355447601840192,0.47903519535470296,0.274070616003421,-0.04589835568166357,0.8224337782278627,0.4226260015284742,0.2488729917218493,1.5374348131600908,252,1.22655819895969,-0.19339147440134372,-0.17862407474613623,-0.1379567848425688,-0.2916211061951815,0.08499295175489198,3
CFG,-0.001253081847299331,0.1285399906721172,0.07702710210730523,0.49002917046894945,0.46199803238619097,-0.00853173670311777,1.5360994876644525,0.5947396567368162,0.6294550753386351,0.8813014279666845,252,-0.016360297266814885,0.5234416414925934,-0.13252860705011052,0.08397334101289969,-0.039159781442174926,0.08387325934927856,3
HON,0.0909132070444616,0.10053529376320847,-0.019922742745062116,0.12774304627357425,0.058255119196181315,0.01248049738722763,1.0496109744966788,0.15271722203027172,0.25581216006831065,0.4406249570003722,252,0.7320099055872503,0.3361747987840655,-0.46423442386987956,-0.3928209302125919,0.10280587131101224,0.06278704431997131,3
REGN,0.18187357773189783,0.04107387653912142,-0.04737693961601852,0.3266373965497671,0.16511447556555758,-0.05296766365860328,1.1546978172026365,0.3372682931437132,0.3315451578333572,0.8966147932497558,252,1.47058831512895,-0.061442497441232924,-0.5581666711269928,-0.2666269407225924,-0.3393837056952836,0.048993700028569676,3
XLE,0.11645517044602927,-0.00724028135367738,0.11603250124845954,0.3928654980878752,0.24287719757120851,-0.024512620784290604,1.0105687636421146,0.5829423871703071,0.7175047596431938,0.7567091087176977,252,0.939405088380935,-0.3845182956237707,0.0009251163900851512,-0.1747941947946268,-0.1471319575754661,0.04677715135543131,3
SYF,0.005210388737395322,0.039466600073889246,0.02592391540277572,0.06647315530710007,0.051522326516661554,0.12623881708678672,1.6204294659032419,0.6208929522067618,1.1203430506857144,0.5184956088683924,252,0.03612167689935579,-0.07219032270721548,-0.3073739027154311,-0.400771922970781,0.8713949724420564,0.025436100189596945,3
PLD,0.06864034488431825,0.05354574970240633,0.08417388320802122,0.3948097113510485,0.31302372605854534,-0.04744163490887264,1.1415428151970364,0.35714731778336817,0.22094329906545251,1.4354240165908634,252,0.5511591132492597,0.021956666547098068,-0.10807649094559262,-0.09195568088768963,-0.3020480147251906,0.014207118647576978,3
RF,0.001623413819731967,0.11532901488269798,0.013469114330447729,0.21792342970350997,0.17182664504020706,0.031137631138275123,1.2293225662408647,0.48733271774776954,0.7706195803778634,0.580484494733998,252,0.006996221387995442,0.4351001131685954,-0.3499869669169816,-0.2587003026356934,0.228859681680847,0.012453749336952574,3
