roe,roic,debt_to_equity,debt_to_assets,equity_multiplier,pm_x_at,leverage_boost,leverage_share_of_roe,roe_quality,leverage_flag,dupont_identity,ticker,ev_ebitda,pb_ratio,mktcap_to_assets
0.2904672015101463,0.04332142668613961,5.7049315714959885,0.851,6.705,0.0433,0.2471,0.851,leverage_driven,levered-assets,ROE = PM × AT × EM,CHTR,5.299403059760852,1.000616619757742,0.10900058436770323
0.2881287726358149,0.1396119723115921,1.0637826961770624,0.515,2.064,0.1396,0.1485,0.515,leverage_driven,levered-assets,ROE = PM × AT × EM,SOLV,6.436896516293569,2.2753137267781245,0.8021784225074328
0.2859930615784909,0.1071965541062213,1.6679314830875975,0.625,2.668,0.1072,0.1788,0.625,leverage_driven,levered-assets,ROE = PM × AT × EM,URI,11.519658154285647,7.644611261379575,2.2518328630952675
0.28186714542190305,0.11817345487998662,1.3851984839417515,0.581,2.385,0.1182,0.1637,0.581,leverage_driven,levered-assets,ROE = PM × AT × EM,LDOS,10.999279503384674,3.888549408935687,1.2668680176119191
0.28,0.12,1.3,0.565,2.3,0.1217,0.1583,0.565,leverage_driven,levered-assets,ROE = PM × AT × EM,GIS,12.0,3.8,1.125
0.28,0.16,0.8,0.444,1.8,0.1556,0.1244,0.444,mixed,mixed-assets,ROE = PM × AT × EM,HON,,5.63,1.178
0.28,0.16,0.4,0.286,1.4,0.2,0.08,0.286,high_ops,cheap-assets,ROE = PM × AT × EM,COST,,25.41,6.002
0.2784887983506291,0.15708595110870813,0.7728434426189176,0.436,1.773,0.1571,0.1214,0.436,mixed,mixed-assets,ROE = PM × AT × EM,FDS,10.473707872251259,4.295781548708585,2.0826049931870108
0.2758561885060539,0.2758561885060539,,,,,,,unknown,,ROE = PM × AT × EM,ANET,35.828217233212484,11.462866150660107,7.138772288253778
0.27166284540825547,0.26472453470228574,0.02620954915936556,0.026,1.026,0.2647,0.0069,0.026,high_ops,cheap-assets,ROE = PM × AT × EM,TER,40.57299568409662,14.756055765749915,10.462817835079456
0.2716216949888702,0.1986421027554991,0.3673923665779901,0.269,1.367,0.1986,0.073,0.269,high_ops,cheap-assets,ROE = PM × AT × EM,AOS,9.695554296915253,3.7247500108961415,1.8824576883165325
0.2654650645304851,0.1559001611708847,0.7027889037234831,0.413,1.703,0.1559,0.1096,0.413,mixed,mixed-assets,ROE = PM × AT × EM,JCI,26.293594422316385,6.5646704162153435,2.283466718734107
0.26213528288217086,0.10594968720883802,1.474148718961997,0.596,2.474,0.1059,0.1562,0.596,leverage_driven,levered-assets,ROE = PM × AT × EM,MRSH,13.824494830494622,5.209074569695034,1.3251797726564072
0.2609878059478902,0.1329608938547486,0.9628914817089218,0.491,1.963,0.133,0.128,0.491,mixed,mixed-assets,ROE = PM × AT × EM,NXPI,15.596109303199526,6.216834591753874,2.6576297585374986
0.260691138920684,0.18230492666093767,0.42997308792172145,0.301,1.43,0.1823,0.0784,0.301,high_ops,cheap-assets,ROE = PM × AT × EM,META,11.92517758306834,4.755080140502025,2.7605516747906003
0.2541416269743509,0.2526179384441742,0.006031592766375908,0.006,1.006,0.2526,0.0015,0.006,high_ops,cheap-assets,ROE = PM × AT × EM,INCY,9.20405006176435,3.621732366102863,2.9186900683184303
0.25,0.18,0.3,0.231,1.3,0.1923,0.0577,0.231,high_ops,cheap-assets,ROE = PM × AT × EM,CSCO,,9.21,4.5
0.25,0.15,0.5,0.333,1.5,0.1667,0.0833,0.333,high_ops,cheap-assets,ROE = PM × AT × EM,CF,,3.6,1.424
