date,window,avg_corr,median_corr,p10_corr,p90_corr,dispersion
2021-12-15,20,0.33185022380168894,0.33769980982990083,-0.038786820815037155,0.6798162332812648,0.2687452754683219
2021-12-16,20,0.3641472322966133,0.3678362101338254,0.026173709788397472,0.6992253384318444,0.2578505598976626
2021-12-17,20,0.38176993624983385,0.3903650266000108,0.03633838871769493,0.7163680456974476,0.25798748440020614
2021-12-20,20,0.3737599112107602,0.37733561017629713,0.02400363208727552,0.7163388771410919,0.26209098848688744
2021-12-21,20,0.3952497129186614,0.39683277819400975,0.05108362933366182,0.7217221493386443,0.2498048868148744
2021-12-22,20,0.4491512954796775,0.4544214683867449,0.1459697857857939,0.7456882050355089,0.2306767592928982
2021-12-23,20,0.4529290105385059,0.4551821861906753,0.15038335380125376,0.7426924500325233,0.22722185482331195
2021-12-27,20,0.4621383687665759,0.46987429404305,0.17054683752460997,0.741389419227978,0.22194840408828576
2021-12-28,20,0.4368332815682452,0.4371235077612919,0.13685167466120401,0.7272546508971228,0.22600185796450736
2021-12-29,20,0.4482293759392898,0.44931865223601686,0.14399492340894063,0.7364531297264281,0.22507180631788376
2021-12-30,20,0.44016789789326666,0.4472708182330767,0.1263975225963055,0.7291934694145668,0.22928437336810292
2021-12-31,20,0.44822901127734205,0.4613022427219401,0.14908645709225918,0.733546216805718,0.22876785528656912
2022-01-03,20,0.462491898431276,0.477616887956889,0.13991467828810394,0.7469926028983145,0.23683480275349414
2022-01-04,20,0.4642649322688573,0.4832359752665993,0.14146070048222534,0.7415270462887393,0.23111758186933978
2022-01-05,20,0.44890694864839453,0.47490752345364107,0.118301383185429,0.7505615146825111,0.24929543787160677
2022-01-06,20,0.4578629657117934,0.4848631932416452,0.13697402628395955,0.7560880914212177,0.2418770220355698
2022-01-07,20,0.46097202708176543,0.4848945884709469,0.14222162492627372,0.7495101606483976,0.2389506447718197
2022-01-10,20,0.4356727264806294,0.45515907383464227,0.1352593044440088,0.7345729629564497,0.23843056934207915
2022-01-11,20,0.4285923451216985,0.44661557253266293,0.11553966397332671,0.7324923835251389,0.24014842402124825
2022-01-12,20,0.4191497512685978,0.43653667451776934,0.09251451331264679,0.7257973521123705,0.25075153496364255
