asset_a,asset_b,corr_calm,corr_crisis,delta
CRWD,UNH,0.006331417984395007,0.9599918407374217,0.9536604227530268
DG,PLTR,-0.020293445656196826,0.9312586861664763,0.9515521318226732
CRWD,VLO,-0.003042749760183476,0.9481579028969306,0.9512006526571141
CRWD,DVY,0.0033669410185533082,0.952700552678042,0.9493336116594887
FANG,LLY,0.016815530203907116,0.9658258199747007,0.9490102897707936
CRWD,DG,-0.03383686766921717,0.9146064370603263,0.9484433047295434
KMB,MPC,0.013843391312835854,0.961140740650166,0.9472973493373301
CRWD,MPC,0.010415832097059851,0.9564971379476391,0.9460813058505793
MPC,PG,0.025459938051328075,0.971017612421871,0.9455576743705429
CRWD,MRK,-0.006560923312359343,0.9380311820634218,0.9445921053757812
CRWD,GD,0.009935666187542685,0.9526033680165019,0.9426677018289592
KMB,RKLB,-0.06967598102854676,0.8720723447355686,0.9417483257641154
PG,RKLB,-0.04374761018878315,0.8974044032767886,0.9411520134655718
MPC,PEP,0.038749057639688306,0.9789753515509964,0.9402262939113081
AFL,PLTR,-0.0012876751028278205,0.9387272422759346,0.9400149173787624
CRWD,HII,0.007148784983173005,0.9465216084406628,0.9393728234574898
FANG,PM,0.03116840547936088,0.9705310533923196,0.9393626479129588
FANG,JNJ,0.02765225410363668,0.9658607137495608,0.9382084596459241
PLTR,REGN,0.00513410580410973,0.9431583398687189,0.9380242340646091
MRK,MTSI,0.030897986203036958,0.9687057038374641,0.9378077176344272
CRWD,MMM,0.018236116645986303,0.9552327784519381,0.9369966618059518
KO,PLTR,-0.14242404535880326,0.7943930891882794,0.9368171345470827
LMT,REGN,0.03808710186010206,0.9747364219739935,0.9366493201138915
ALL,PLTR,-0.0013084245726803089,0.935251906157002,0.9365603307296824
CW,PEP,0.045907460895931146,0.9823350605095561,0.936427599613625
HEI,UNH,0.03479899316220209,0.9708586005394799,0.9360596073772778
LMT,MTSI,0.03804172022221357,0.973870452493377,0.9358287322711635
CVX,MTSI,0.043566646106949644,0.9788456944519108,0.9352790483449612
AEP,MPC,0.04418250679175127,0.9771107066728287,0.9329281998810774
CRWD,RTX,0.01400338604022773,0.9466255358335891,0.9326221497933613
FANG,MCD,0.03725107909219388,0.969147863560854,0.9318967844686602
MCD,MPC,0.050355756156775185,0.982129908807634,0.9317741526508587
DUK,MPC,0.04768168246095006,0.9791667124726215,0.9314850300116715
RKLB,VLO,-0.007814669097661873,0.9234976172386055,0.9313122863362673
PLTR,XOM,-0.004220473247503392,0.9268270657888079,0.9310475390363113
LLY,RKLB,-0.0050147688860780765,0.9257875048925125,0.9308022737785906
MCD,PLTR,0.00041209393981281924,0.9308104583402887,0.930398364400476
CW,JNJ,0.05511444543949792,0.9851552015690158,0.9300407561295179
CAG,ICL,0.021568848947945536,0.9513514922650234,0.9297826433170778
MO,RKLB,-0.04721108170542481,0.8824189193112805,0.9296300010167052
NOC,REGN,0.04953054854746874,0.9768531302065805,0.9273225816591117
MCD,RKLB,-0.0075679827824387935,0.9194783585089871,0.9270463412914258
CRWD,DE,0.026317516225931994,0.952738927967421,0.926421411741489
PLTR,PM,-0.016637190822810795,0.9095579947983904,0.9261951856212012
NUE,PM,0.0394987105343074,0.9655647803666566,0.9260660698323492
PSX,RKLB,0.014465734210697807,0.9397575126576856,0.9252917784469877
NOC,RKLB,-0.02480991017826169,0.9003781701765061,0.9251880803547679
