date,equity,cash,drawdown,n_holdings,kill_switch,ann_ret,sharpe
2026-04-16,373376.96,301988.96,0.0008,152,,1.7324928744782415,1.800952159768954
2026-04-17,374359.83,302120.05,0.0026,152,,1.7324928744782415,1.800952159768954
2026-04-20,374640.8,303059.72,0.0008,152,,1.7324928744782415,1.800952159768954
2026-04-21,374549.44,303344.51,-0.0002,152,,1.7324928744782415,1.800952159768954
2026-04-22,374459.21,303268.42,-0.0005,152,,1.7324928744782415,1.800952159768954
2026-04-23,374058.26,303251.37,-0.0016,152,,1.7324928744782415,1.800952159768954
2026-04-24,373927.71,302882.75,-0.0019,152,,1.7324928744782415,1.800952159768954
2026-04-27,374001.26,302752.39,-0.0017,152,,1.7324928744782415,1.800952159768954
2026-04-28,373719.54,302866.62,-0.0025,152,,1.7324928744782415,1.800952159768954
2026-04-29,373859.97,302557.83,-0.0021,152,,1.7324928744782415,1.800952159768954
2026-04-30,374768.83,302519.56,0.0003,152,,1.7324928744782415,1.800952159768954
2026-05-01,374893.88,303424.34,0.0003,152,,1.7324928744782415,1.800952159768954
2026-05-04,374701.79,303570.95,-0.0005,152,,1.7324928744782415,1.800952159768954
2026-05-05,375811.76,303161.06,0.0024,152,,1.7324928744782415,1.800952159768954
2026-05-06,377162.57,304019.35,0.0036,152,,1.7324928744782415,1.800952159768954
2026-05-07,377016.3,305358.18,-0.0004,152,,1.7324928744782415,1.800952159768954
2026-05-08,377853.82,305110.14,0.0018,152,,1.7324928744782415,1.800952159768954
2026-05-11,377647.71,305988.49,-0.0005,152,,1.7324928744782415,1.800952159768954
2026-05-12,377679.53,305745.77,-0.0005,152,,1.7324928744782415,1.800952159768954
2026-05-13,377523.61,305824.55,-0.0009,152,,1.7324928744782415,1.800952159768954
2026-05-14,377904.23,305596.0,0.0001,152,,1.7324928744782415,1.800952159768954
2026-05-15,377509.95,306045.14,-0.001,152,,1.7324928744782415,1.800952159768954
2026-05-18,378113.42,305535.56,0.0006,152,,1.7324928744782415,1.800952159768954
