ticker,n_dates,buffett_rate,trifecta_rate,dual_rate,median_composite,composite_std
CL,20,0.05,0.0,0.0,0.56135,0.21925016329586428
ADI,6,0.0,0.0,0.0,0.5608500000000001,0.06008467358653114
IPI,10,0.0,0.0,0.0,0.5607,0.009182646677293002
AMT,6,0.0,0.0,0.0,0.56035,0.0169274235094023
SCHD,1,0.0,0.0,0.0,0.5593,
TTMI,12,0.0,0.0,0.0,0.5573,0.21836899737634807
MSFT,22,1.0,0.0,0.0,0.55615,0.2901608252369098
DE,22,0.0,0.0,0.0,0.5545,0.19373892572735948
DG,21,0.0,0.0,0.0,0.5529,0.27222214300614334
MMM,22,0.0,0.0,0.0,0.552,0.18620485815126897
VYM,1,0.0,0.0,0.0,0.5519,
GIS,18,0.0,0.0,0.0,0.55135,0.23640756633048077
AIG,6,0.0,0.0,0.0,0.5512,0.02278549977507627
LRCX,20,0.9,0.0,0.0,0.5511999999999999,0.46320870037733874
JCI,6,1.0,0.0,0.0,0.5510999999999999,0.04100988498724017
GEV,7,1.0,0.0,0.0,0.5486,0.018739123829698178
JNJ,22,0.8181818181818182,0.0,0.0,0.5472,0.9710630700400829
ABBV,12,0.0,0.0,0.0,0.54625,0.011386924319347423
WY,6,0.0,0.0,0.0,0.54315,0.03718964461603076
SPG,6,0.0,0.0,0.0,0.5414,0.007894723976597715
TSN,5,0.0,0.0,0.0,0.537,0.02229782500604038
MCK,6,0.0,0.0,0.0,0.5365,0.0
PWR,7,0.0,0.0,0.0,0.5325,0.042795677351807386
FIS,6,0.0,0.0,0.0,0.5316,0.0703899898186288
APTV,6,0.0,0.16666666666666666,0.0,0.52955,0.03792563337199085
REGN,22,0.6363636363636364,0.0,0.0,0.52535,0.7950941824605964
TRMB,6,0.0,0.0,0.0,0.52515,0.0347603078237233
BSX,6,0.0,0.0,0.0,0.5239,0.024086649137367886
VTRS,6,0.0,0.0,0.0,0.5213,0.013251968407246757
EQR,6,0.0,0.0,0.0,0.5202,0.026971571453414955
MKC,21,0.23809523809523808,0.0,0.0,0.5175,0.5657094891751924
WBD,6,0.0,0.5,0.0,0.5164,0.04132369780162467
KMB,20,0.0,0.0,0.0,0.5140499999999999,0.322153211180153
NVDA,21,1.0,0.0,0.0,0.5129,0.11349222650115944
CBRE,7,0.0,0.0,0.0,0.5121,0.006991831969213421
MCD,19,0.0,0.0,0.0,0.5109,0.33834513591028914
NKE,22,0.7727272727272727,0.0,0.0,0.5093000000000001,0.18475419688980896
GM,7,0.0,0.42857142857142855,0.0,0.5088,0.007875247539571249
HAS,7,0.0,0.0,0.0,0.5087,0.013327647597239043
MLM,7,0.0,0.0,0.0,0.5085,0.039169582464920305
PODD,6,0.0,0.0,0.0,0.5084,0.0
XLU,1,0.0,0.0,0.0,0.5062,
HRL,6,0.0,0.0,0.0,0.50525,0.06096479038483331
UBER,6,1.0,0.0,0.0,0.5034,0.007062695425024868
XYZ,6,0.0,0.0,0.0,0.50315,0.06800628647411942
DOC,6,0.0,0.0,0.0,0.50075,0.01806100772382319
CVS,6,0.0,0.0,0.0,0.4977,0.019094964432191726
WM,21,0.0,0.0,0.0,0.4964,0.4743136708269469
COF,7,0.0,0.0,0.0,0.4954,0.0
VST,6,0.0,0.0,0.0,0.49385,0.040018229179545964
PEP,22,0.0,0.0,0.0,0.49355000000000004,0.6815946399938883
IFF,6,0.0,0.0,0.0,0.49319999999999997,0.02942880674894353
VIG,1,1.0,0.0,0.0,0.4898,
SPLV,1,0.0,0.0,0.0,0.4879,
NEE,21,0.0,0.0,0.0,0.4841,0.282039853820089
PG,19,0.8947368421052632,0.0,0.0,0.4838,0.99281016642141
SATS,12,0.0,0.75,0.0,0.4818,0.18814712972629272
TTD,6,1.0,0.0,0.0,0.4783,0.05344374300764
LLY,19,0.0,0.0,0.0,0.4761,0.12606362591079862
BXP,6,0.0,0.0,0.0,0.4748,0.02074113465234404
FE,7,0.0,0.0,0.0,0.4744,0.027908003630977757
CEG,6,0.0,0.0,0.0,0.47415,0.11351923185081902
CW,1,0.0,0.0,0.0,0.4727,
INTU,6,1.0,0.0,0.0,0.4698,0.0374114287350804
INTC,22,0.0,0.045454545454545456,0.0,0.46940000000000004,0.16756557887916068
XLP,1,0.0,0.0,0.0,0.4681,
EW,6,0.0,0.0,0.0,0.4679,0.0
ORCL,22,0.0,0.0,0.0,0.4669,0.19856159152188937
PSKY,6,0.0,0.0,0.0,0.46675,0.02642011859675627
IBM,22,0.0,0.0,0.0,0.46475,0.15659102936053032
USMV,1,0.0,0.0,0.0,0.4641,
KO,22,0.0,0.0,0.0,0.4618,0.35857337131896394
GPN,6,0.0,0.0,0.0,0.46035000000000004,0.016811831151503597
UDR,5,0.0,0.0,0.0,0.459,0.02511628953488153
SBAC,6,0.0,0.0,0.0,0.45835000000000004,0.014269080792632232
APO,6,0.0,0.0,0.0,0.45755,0.019208062543282865
SBUX,21,0.0,0.0,0.0,0.4562,0.14949744813875582
COST,21,0.8095238095238095,0.0,0.0,0.4545,0.3926419920293319
CVNA,7,0.0,0.0,0.0,0.454,0.0
CPT,5,0.0,0.0,0.0,0.4509,0.022339046532920768
CTVA,21,0.0,0.0,0.0,0.4501,0.3371907138048
D,21,0.0,0.047619047619047616,0.0,0.4435,0.29255595289009007
KKR,6,0.0,0.0,0.0,0.443,0.04647316429941051
XLV,1,0.0,0.0,0.0,0.4418,
WDAY,6,0.0,0.0,0.0,0.4415,0.036218393117309865
MRNA,6,0.0,0.0,0.0,0.43889999999999996,0.057760935472572356
HUM,7,0.0,0.0,0.0,0.4366,0.04231703473273413
CLX,6,0.0,0.0,0.0,0.43284999999999996,0.028275271881981975
KR,6,0.0,0.0,0.0,0.4294,0.012969451286259806
TKO,6,0.0,0.0,0.0,0.424,0.06006159061052802
IYR,1,0.0,0.0,0.0,0.4127,
BKNG,6,0.0,0.0,0.0,0.4101,0.024089617403907998
EA,5,0.0,0.0,0.0,0.4018,0.0
MRVL,6,0.0,0.0,0.0,0.4006,0.07447081978869308
MCHP,20,0.25,0.0,0.0,0.39705,0.2348512539325354
SMG,12,0.0,0.0,0.0,0.39415,0.01507269254665737
COHR,6,0.0,0.0,0.0,0.3926,0.14318229871973234
BDX,6,0.0,0.0,0.0,0.38695,0.05246384151648319
AJG,6,0.0,0.0,0.0,0.38655,0.08230321378901316
ALB,6,0.0,0.0,0.0,0.38615,0.11273337423614477
ESS,7,0.0,0.0,0.0,0.3849,0.02900406375468294
LITE,6,0.0,0.0,0.0,0.38270000000000004,0.17166137208663648
MGM,6,0.0,0.0,0.0,0.37634999999999996,0.014748694857511964
TPR,6,0.0,0.0,0.0,0.3706,0.05190631625020862
ARE,6,0.0,0.0,0.0,0.3557,0.0
CNC,7,0.0,0.0,0.0,0.3531,0.0
TAP,6,0.0,0.0,0.0,0.3526,0.0
SPR,1,0.0,0.0,0.0,0.349,
HEI,1,0.0,0.0,0.0,0.3435,
CIEN,5,0.0,0.0,0.0,0.3427,0.0629416555231907
ON,6,0.0,0.0,0.0,0.33785,0.05499699688770895
CARR,7,0.0,0.0,0.0,0.3371,0.04098962702696285
PLD,19,0.21052631578947367,0.0,0.0,0.3362,0.6210704400633376
GNRC,5,0.0,0.0,0.0,0.3354,0.05672975409782769
COO,5,0.0,0.0,0.0,0.3324,0.04885204192252356
IP,6,0.0,0.0,0.0,0.31379999999999997,0.034846616287190144
AMD,19,0.0,0.0,0.0,0.3053,0.14063072688793601
TSLA,22,0.22727272727272727,0.0,0.0,0.3047,0.16702633492489005
SJM,6,0.0,0.0,0.0,0.29955,0.018072160911191577
ECHO,6,0.0,0.0,0.0,0.29945,0.049490904888339515
WELL,6,0.0,0.0,0.0,0.29915,0.02677175128127905
F,6,0.0,0.0,0.0,0.2945,0.0006123724356958018
ARES,6,0.0,0.0,0.0,0.2929,0.058607567770723935
WAT,6,0.0,0.0,0.0,0.28815,0.01901077764497463
MTSI,12,0.0,0.0,0.0,0.28625,0.11302091520036138
BAX,7,0.0,0.0,0.0,0.2817,0.06054341220896589
ENPH,12,0.0,0.0,0.0,0.2793,0.031088753691015117
BLDR,6,0.0,0.0,0.0,0.2788,0.09784138183815683
BA,21,0.0,0.0,0.0,0.2764,0.09612036452381188
LYB,6,0.0,0.0,0.0,0.2742,0.0582854155571243
OMC,6,0.0,0.0,0.0,0.2732,0.007734963908556178
DLR,6,0.0,0.0,0.0,0.27225,0.04797838749548246
DDOG,6,0.0,0.0,0.0,0.2652,0.0
SNPS,5,0.0,0.0,0.0,0.2643,0.022558080592107118
SEDG,12,0.0,0.0,0.0,0.2541,0.07414768841285412
J,6,0.0,0.0,0.0,0.25129999999999997,0.019083334788937357
IR,6,0.0,0.0,0.0,0.24705,0.008803332702259225
TECH,6,0.0,0.0,0.0,0.2442,0.0
VNQ,10,0.0,0.0,0.0,0.23354999999999998,0.017114584423818184
LYV,7,0.0,0.0,0.0,0.226,0.03475623959055683
PLTR,21,0.42857142857142855,0.0,0.0,0.2189,0.2105769794771363
PANW,6,0.0,0.0,0.0,0.2119,0.0
AXON,6,0.0,0.0,0.0,0.2115,0.0
NRG,6,0.0,0.0,0.0,0.1789,0.07217599785709003
CRL,5,0.0,0.0,0.0,0.1734,0.04274047262256233
CRWD,21,0.0,0.0,0.0,0.1718,0.028100346549295014
BKSY,12,0.0,0.0,0.0,0.15689999999999998,0.06308528318510948
GPC,7,0.0,0.0,0.0,0.1419,0.021993245716420695
CSGP,7,0.0,0.0,0.0,0.137,0.06284249396402922
IRM,6,0.0,0.0,0.0,0.1049,0.02626567468516023
TTWO,6,0.0,0.0,0.0,0.0932,0.0
RKLB,12,0.0,0.0,0.0,0.091,0.03556436759488692
BX,21,0.0,0.0,0.0,0.0839,0.32801023684664243
SPCX,12,0.0,0.0,0.0,0.08255000000000001,0.032190553620965304
ASTS,12,0.0,0.0,0.0,0.07865,0.030617447739166734
COIN,7,0.0,0.0,0.0,0.071,0.032797902081571934
CCI,6,0.0,0.0,0.0,0.066,0.009671194341962114
APD,7,0.0,0.0,0.0,0.0418,0.0
EL,6,0.0,0.0,0.0,0.0055,0.0
VUG,10,0.0,0.0,0.0,0.0,0.0
XBI,10,0.0,0.0,0.0,0.0,0.0
QQQ,10,0.0,0.0,0.0,0.0,0.0
ARKK,10,0.0,0.0,0.0,0.0,0.0
IRDM,3,0.0,0.0,0.0,0.0,0.18873580299808868
GSAT,3,0.0,0.0,0.0,0.0,0.10351890326569989
